date,port_ret
1997-01-01,5.278855544118184e-05
1997-01-02,-0.0019000870873248457
1997-01-03,0.003377666473006006
1997-01-06,0.014946807214742988
1997-01-07,-0.00684412211114808
1997-01-08,0.004868645437946591
1997-01-09,-0.0011972721714041585
1997-01-10,-0.006039353313630813
1997-01-13,-0.004053612161599643
1997-01-14,0.003909705261229801
1997-01-15,0.007484729045153626
1997-01-16,-0.00832355652415162
1997-01-17,-0.0029366479383763724
1997-01-20,-0.002099141108341233
1997-01-21,-0.0031671871483189467
1997-01-22,0.0006410582061291045
1997-01-23,-0.002671184913338287
1997-01-24,-0.0007868818796719449
1997-01-27,0.0012179745064061498
1997-01-28,-0.0015603712585335512
1997-01-29,0.0004669166943106114
1997-01-30,0.0037798637046695394
1997-01-31,-0.00501526581121788
1997-02-03,-0.0002347891380553395
1997-02-04,0.0028629628061730044
1997-02-05,-0.0020835078404991174
1997-02-06,-0.006668886491874471
1997-02-07,-0.007380890237352481
1997-02-10,0.0014978265883452597
1997-02-11,0.0019165379376518965
1997-02-12,-0.004766192001139849
1997-02-13,0.001101392267193857
1997-02-14,0.0016522494999691901
1997-02-17,0.00020721630792349305
1997-02-18,0.0
1997-02-19,0.0028384037672240696
1997-02-20,-0.00530982347993747
1997-02-21,-0.00019880962969083998
1997-02-24,-0.006651522210676404
1997-02-25,0.004340317935876303
1997-02-26,-0.0014693175639414189
1997-02-27,-0.0019551888129501296
1997-02-28,-0.002796203759400854
1997-03-03,-6.836294926704233e-05
1997-03-04,0.004574035022425334
1997-03-05,-0.003883011617134409
1997-03-06,0.004052491202985416
1997-03-07,0.004611954094140576
1997-03-10,-0.0024056186027001285
1997-03-11,-0.0017316378224705071
1997-03-12,0.0008238043862640598
1997-03-13,-0.002562254071381109
1997-03-14,0.00503125898416612
1997-03-17,-0.004900878124167396
1997-03-18,0.004145129796374787
1997-03-19,0.0011119626249868064
1997-03-20,0.000891397591337865
1997-03-21,-0.0035435020059405202
1997-03-24,-0.0026626712837131876
1997-03-25,0.0011887151538666114
1997-03-26,-0.0025733169386601786
1997-03-27,0.0009537510560159906
1997-03-28,7.959248646930797e-05
1997-03-31,-0.0002652449537147901
1997-04-01,-0.0012722357365372674
1997-04-02,-0.005813279874209801
1997-04-03,-0.0005025751935688882
1997-04-04,-0.002624599228069309
1997-04-07,0.001956228075274291
1997-04-08,-0.0006427730214729754
1997-04-09,0.0007982335594460821
1997-04-10,0.0032564974848707053
1997-04-11,-0.0013235754287441355
1997-04-14,0.004091828025564329
1997-04-15,7.801297958768636e-05
1997-04-16,-0.0031567975121400043
1997-04-17,0.004999300992069836
1997-04-18,0.0041358759018916835
1997-04-21,0.0019444539639856817
1997-04-22,-0.0007512423174050504
1997-04-23,-0.002169220441564164
1997-04-24,0.0010188451721242127
1997-04-25,6.414129464652842e-05
1997-04-28,-0.0019874353913943432
1997-04-29,0.007719512848534634
1997-04-30,0.0029740204467426272
1997-05-01,0.0003464380769761336
1997-05-02,-0.0030194390256558603
1997-05-05,-0.0007204427111495344
1997-05-06,0.001442374187139217
1997-05-07,-7.754711746610348e-05
1997-05-08,0.0039164956572540115
1997-05-09,0.0018081808027790025
1997-05-12,0.004656087395271531
1997-05-13,-0.0011484315854145555
1997-05-14,0.000808002272943531
1997-05-15,-0.0005587521444268365
1997-05-16,0.0056435708086354595
1997-05-19,-0.001560399398129871
1997-05-20,-0.0032616009053423323
1997-05-21,0.0020304439359531967
1997-05-22,-0.0008226869425499438
1997-05-23,3.490811938385481e-05
1997-05-26,0.00020823572283819775
1997-05-27,-0.0007023567972529454
1997-05-28,0.0006069192865791513
1997-05-29,0.0011394750937209577
1997-05-30,-0.000982893996906394
1997-06-02,-0.0024753328795760936
1997-06-03,-0.002898394220273122
1997-06-04,-0.00198181634540658
1997-06-05,-0.002305768110096862
1997-06-06,-0.002738115273326384
1997-06-09,-0.001993626175861555
1997-06-10,-0.0015829725619533515
1997-06-11,-0.0010318327926139848
1997-06-12,0.0012337132341458204
1997-06-13,0.002482108247566339
1997-06-16,0.00023097852787605047
1997-06-17,0.0021148355448766067
1997-06-18,-0.003652143012365198
1997-06-19,0.0006365020280083566
1997-06-20,-0.0007621274967933855
1997-06-23,0.0006523661203415853
1997-06-24,0.0002600124432508751
1997-06-25,0.0013754674879855968
1997-06-26,-0.005734498958633945
1997-06-27,0.003748344217586297
1997-06-30,0.0013094069256791203
1997-07-01,0.0018816476169212963
1997-07-02,0.000295100009744124
1997-07-03,-0.0023314296542135122
1997-07-04,7.55572346052465e-05
1997-07-07,0.0010072014906582123
1997-07-08,0.0028534646909919026
1997-07-09,0.000340654011303417
1997-07-10,-0.001477624631019118
1997-07-11,0.001654725789700088
1997-07-14,0.0005837680500723936
1997-07-15,0.0037293734312036824
1997-07-16,0.0015048361769424146
1997-07-17,0.0018525378490618452
1997-07-18,-0.0029566065288065824
1997-07-21,-0.0028065394673877733
1997-07-22,0.0045458309095181
1997-07-23,0.0036082442826105656
1997-07-24,0.0022468368102948793
1997-07-25,0.0019225545433243507
1997-07-28,0.0031160757252514473
1997-07-29,0.0008269135338661396
1997-07-30,0.00496640207416732
1997-07-31,0.0019222749463482605
1997-08-01,0.0006384011600878426
1997-08-04,0.005875622867647608
1997-08-05,-0.0011465359474099137
1997-08-06,-0.0011514418743883517
1997-08-07,-0.001869212674254846
1997-08-08,-0.004442337907220891
1997-08-11,0.0010425917475827735
1997-08-12,-0.0005156589736385145
1997-08-13,0.0029477916539237814
1997-08-14,-5.457064890845859e-05
1997-08-15,-0.0009266035443175428
