,date,open,high,low,close,ticker,,
1,11/04/2025,9623.6904,9854.8799,9560.29,9827.5801,SPXGTR,,
2,14/04/2025,10000.7998,10036.1504,9787.9502,9879.6797,SPXGTR,,
3,15/04/2025,9894.8398,9980.1602,9855.6797,9885.1396,SPXGTR,,
4,16/04/2025,9704.21,9770.0996,9467.3203,9601.0703,SPXGTR,,
5,17/04/2025,9679.3496,9691.25,9546.2695,9605.3301,SPXGTR,,
6,21/04/2025,9487.8096,9489.6504,9222.2402,9335.3398,SPXGTR,,
7,22/04/2025,9443.7695,9642.4297,9423.1904,9588.1504,SPXGTR,,
8,23/04/2025,9858.8398,10011.2598,9781.6904,9821.1602,SPXGTR,,
9,24/04/2025,9836.9102,10090.0898,9836.9102,10081.5596,SPXGTR,,
10,25/04/2025,10120.1201,10245.5996,10074.4502,10229.3096,SPXGTR,,
11,28/04/2025,10234.2402,10276.6396,10083.2695,10217.2803,SPXGTR,,
12,29/04/2025,10179.6299,10301.7998,10164.8896,10284.4102,SPXGTR,,
13,30/04/2025,10116.8799,10319.2598,10005.0303,10298.5703,SPXGTR,,
14,01/05/2025,10457.8896,10534.46,10397.7402,10409.2998,SPXGTR,,
15,02/05/2025,10503.5195,10641.46,10503.5195,10602.1104,SPXGTR,,
16,05/05/2025,10525.71,10610.6699,10498.5195,10543.4004,SPXGTR,,
17,06/05/2025,10425.8301,10526.5098,10393.7197,10452.2402,SPXGTR,,
18,07/05/2025,10454.1904,10529.0098,10354.04,10486.4805,SPXGTR,,
19,08/05/2025,10567.6396,10655.3203,10482.4404,10555.3096,SPXGTR,,
20,09/05/2025,10587.3496,10622.5996,10497.21,10542.5801,SPXGTR,,
21,12/05/2025,10879.8604,10951.1396,10804.9502,10948.79,SPXGTR,,
22,13/05/2025,10985.8896,11178.5898,10976.4697,11140.6797,SPXGTR,,
23,14/05/2025,11184.9404,11238.4502,11154.0195,11219.0195,SPXGTR,,
24,15/05/2025,11167.4004,11269.7998,11138.1504,11221.4404,SPXGTR,,
